,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank
160,G:HGNC:22140,G:HGNC:9416,"['GMDMG', 'GMDpDMG']",5817.0,0.116,6579.0
161,G:HGNC:22140,G:HGNC:9416,"['GTG', 'GMDMG', 'GMDpDMG']",4868.0,0.125,5562.0
162,G:HGNC:813,G:HGNC:817,['GTG'],60.0,0.889,540.0
163,G:HGNC:813,G:HGNC:817,['GMG'],397.0,0.449,721.0
164,G:HGNC:813,G:HGNC:817,"['GTG', 'GMG']",117.0,0.866,874.0
165,G:HGNC:9416,G:HGNC:9413,['GTG'],253.0,0.624,673.0
166,G:HGNC:9416,G:HGNC:9413,['GMG'],298.0,0.433,526.0
167,G:HGNC:9416,G:HGNC:9413,['GMDMG'],133.0,0.957,3084.0
168,G:HGNC:9416,G:HGNC:9413,['GMDpDMG'],3185.0,0.185,3907.0
169,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMG']",271.0,0.634,741.0
170,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMDMG']",803.0,0.796,3944.0
171,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMDpDMG']",2336.0,0.396,3865.0
172,G:HGNC:9416,G:HGNC:9413,"['GMG', 'GMDMG']",527.0,0.8,2632.0
173,G:HGNC:9416,G:HGNC:9413,"['GMG', 'GMDpDMG']",1871.0,0.127,2143.0
174,G:HGNC:9416,G:HGNC:9413,"['GMDMG', 'GMDpDMG']",317.0,0.95,6328.0
175,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMG', 'GMDMG']",685.0,0.688,2196.0
176,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMG', 'GMDpDMG']",1072.0,0.396,1775.0
177,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMDMG', 'GMDpDMG']",1118.0,0.811,5922.0
178,G:HGNC:9416,G:HGNC:9413,"['GMG', 'GMDMG', 'GMDpDMG']",507.0,0.829,2957.0
179,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",630.0,0.722,2268.0
180,G:HGNC:3516,G:HGNC:3518,['GTG'],1.0,0.997,294.0
181,G:HGNC:16637,G:HGNC:29958,['GTG'],93.0,0.785,432.0
182,G:HGNC:7458,G:HGNC:7708,['GDG'],6.0,0.333,9.0
183,G:HGNC:7458,G:HGNC:7708,['GDpDG'],13.0,0.987,966.0
184,G:HGNC:7458,G:HGNC:7708,['GDpDpDG'],1176.0,0.801,5912.0
185,G:HGNC:7458,G:HGNC:7708,['GPdPG'],1.0,0.933,15.0
186,G:HGNC:7458,G:HGNC:7708,['GTG'],29.0,0.918,355.0
187,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG']",13.0,0.536,28.0
188,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDpDG']",21.0,0.222,27.0
189,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GPdPG']",5.0,0.5,10.0
190,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GTG']",24.0,0.529,51.0
191,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GDpDpDG']",1159.0,0.645,3263.0
192,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GPdPG']",10.0,0.861,72.0
193,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GTG']",50.0,0.956,1136.0
194,G:HGNC:7458,G:HGNC:7708,"['GDpDpDG', 'GPdPG']",37.0,0.641,103.0
195,G:HGNC:7458,G:HGNC:7708,"['GDpDpDG', 'GTG']",983.0,0.789,4665.0
196,G:HGNC:7458,G:HGNC:7708,"['GPdPG', 'GTG']",26.0,0.737,99.0
197,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GDpDpDG']",21.0,0.222,27.0
198,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GPdPG']",11.0,0.312,16.0
199,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GTG']",50.0,0.254,67.0
200,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDpDG', 'GPdPG']",11.0,0.267,15.0
201,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDpDG', 'GTG']",36.0,0.321,53.0
202,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GPdPG', 'GTG']",22.0,0.389,36.0
203,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GDpDpDG', 'GPdPG']",37.0,0.526,78.0
204,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GDpDpDG', 'GTG']",968.0,0.628,2603.0
205,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GPdPG', 'GTG']",39.0,0.567,90.0
206,G:HGNC:7458,G:HGNC:7708,"['GDpDpDG', 'GPdPG', 'GTG']",46.0,0.516,95.0
207,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GDpDpDG', 'GPdPG']",11.0,0.267,15.0
208,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GDpDpDG', 'GTG']",36.0,0.321,53.0
209,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GPdPG', 'GTG']",39.0,0.133,45.0
210,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDpDG', 'GPdPG', 'GTG']",24.0,0.333,36.0
211,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GDpDpDG', 'GPdPG', 'GTG']",46.0,0.432,81.0
212,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GDpDpDG', 'GPdPG', 'GTG']",24.0,0.333,36.0
213,G:HGNC:9302,G:HGNC:9300,['GTG'],39.0,0.931,566.0
214,G:HGNC:9302,G:HGNC:9300,['GMDMG'],2311.0,0.363,3630.0
215,G:HGNC:9302,G:HGNC:9300,['GMDpDMG'],3585.0,0.361,5606.0
216,G:HGNC:9302,G:HGNC:9300,"['GTG', 'GMDMG']",2496.0,0.45,4536.0
217,G:HGNC:9302,G:HGNC:9300,"['GTG', 'GMDpDMG']",4110.0,0.417,7048.0
218,G:HGNC:9302,G:HGNC:9300,"['GMDMG', 'GMDpDMG']",5252.0,0.343,7989.0
219,G:HGNC:9302,G:HGNC:9300,"['GTG', 'GMDMG', 'GMDpDMG']",5049.0,0.41,8551.0
220,G:HGNC:811,G:HGNC:13211,['GTG'],8.0,0.981,415.0
221,G:HGNC:8590,G:HGNC:9380,['GPdPG'],34.0,0.469,64.0
222,G:HGNC:8590,G:HGNC:9380,['GTG'],217.0,0.737,825.0
223,G:HGNC:8590,G:HGNC:9380,['GMDMG'],2502.0,0.256,3361.0
224,G:HGNC:8590,G:HGNC:9380,"['GPdPG', 'GTG']",214.0,0.496,425.0
225,G:HGNC:8590,G:HGNC:9380,"['GPdPG', 'GMDMG']",210.0,0.402,351.0
226,G:HGNC:8590,G:HGNC:9380,"['GTG', 'GMDMG']",3253.0,0.316,4754.0
227,G:HGNC:8590,G:HGNC:9380,"['GPdPG', 'GTG', 'GMDMG']",250.0,0.39,410.0
228,G:HGNC:9410,G:HGNC:18133,['GPdPG'],7.0,0.863,51.0
229,G:HGNC:9410,G:HGNC:18133,['GTG'],218.0,0.617,569.0
230,G:HGNC:9410,G:HGNC:18133,"['GPdPG', 'GTG']",192.0,0.423,333.0
