,gene1,gene2,result
130,G:HGNC:8592,G:HGNC:11842,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
131,G:HGNC:13552,G:HGNC:13535,"Meta path:['GTG', 'GMDpDMG'], rank is 1 and total rank is 8427"
132,G:HGNC:24948,G:HGNC:14129,"Meta path:['GTG'], rank is 78 and total rank is 463"
133,G:HGNC:391,G:HGNC:22140,"Meta path:['GDpDG'], rank is 345 and total rank is 407"
134,G:HGNC:12587,G:HGNC:12590,"Meta path:['GPdPG'], rank is 2 and total rank is 14"
135,G:HGNC:7455,G:HGNC:7460,"Meta path:['GDG'], rank is 8 and total rank is 12"
136,G:HGNC:391,G:HGNC:8590,"Meta path:['GTG'], rank is 159 and total rank is 1217"
137,G:HGNC:811,G:HGNC:13211,"Meta path:['GTG'], rank is 8 and total rank is 415"
138,G:HGNC:9318,G:HGNC:25415,"Meta path:['GTG'], rank is 52 and total rank is 270"
139,G:HGNC:2730,G:HGNC:6193,"Meta path:['GPdPG'], rank is 9 and total rank is 45"
140,G:HGNC:9316,G:HGNC:9300,"Meta path:['GTG'], rank is 55 and total rank is 415"
141,G:HGNC:9299,G:HGNC:18583,"Meta path:['GTG'], rank is 121 and total rank is 518"
142,G:HGNC:16381,G:HGNC:9281,"Meta path:['GTG'], rank is 156 and total rank is 560"
143,G:HGNC:18367,G:HGNC:20449,"Meta path:['GPdPG'], rank is 1 and total rank is 6"
144,G:HGNC:9278,G:HGNC:9299,"Meta path:['GTG'], rank is 64 and total rank is 560"
145,G:HGNC:19342,G:HGNC:17827,"Meta path:['GTG'], rank is 3 and total rank is 246"
146,G:HGNC:9278,G:HGNC:9287,"Meta path:['GTG'], rank is 128 and total rank is 472"
147,G:HGNC:9316,G:HGNC:25415,"Meta path:['GTG'], rank is 28 and total rank is 385"
148,G:HGNC:2296,G:HGNC:2298,"Meta path:['GTG'], rank is 8 and total rank is 285"
149,G:HGNC:16637,G:HGNC:19978,"Meta path:['GTG'], rank is 251 and total rank is 401"
150,G:HGNC:2678,G:HGNC:25538,"Meta path:['GDpDG', 'GDpDpDG', 'GPdPG', 'GTG'], rank is 1 and total rank is 8"
151,G:HGNC:28526,G:HGNC:8127,"Meta path:['GTG'], rank is 231 and total rank is 472"
152,G:HGNC:391,G:HGNC:9407,"Meta path:['GDpDpDG', 'GTG'], rank is 56 and total rank is 5510"
153,G:HGNC:9381,G:HGNC:9395,"Meta path:['GTG', 'GMDMG'], rank is 19 and total rank is 14467"
154,G:HGNC:251,G:HGNC:252,"Meta path:['GPdPG', 'GTG'], rank is 5 and total rank is 125"
155,G:HGNC:12729,G:HGNC:12730,"Meta path:['GPdPG'], rank is 1 and total rank is 1"
156,G:HGNC:1461,G:HGNC:1463,"Meta path:['GTG'], rank is 1 and total rank is 528"
157,G:HGNC:3655,G:HGNC:6524,"Meta path:['GPdPG'], rank is 27 and total rank is 57"
158,G:HGNC:4123,G:HGNC:19877,"Meta path:['GTG'], rank is 14 and total rank is 316"
159,G:HGNC:9306,G:HGNC:9303,"Meta path:['GTG'], rank is 8 and total rank is 313"
160,G:HGNC:9381,G:HGNC:13480,"Meta path:['GPdPG'], rank is 2 and total rank is 38"
161,G:HGNC:19086,G:HGNC:14068,"Meta path:['GPdPG'], rank is 1 and total rank is 7"
162,G:HGNC:9157,G:HGNC:23492,"Meta path:['GMG'], rank is 3 and total rank is 188"
163,G:HGNC:5209,G:HGNC:16637,"Meta path:['GTG'], rank is 281 and total rank is 434"
164,G:HGNC:23242,G:HGNC:21531,"Meta path:['GTG'], rank is 4 and total rank is 242"
165,G:HGNC:18133,G:HGNC:9403,"Meta path:['GTG'], rank is 113 and total rank is 588"
166,G:HGNC:4125,G:HGNC:19873,"Meta path:['GTG', 'GMDMG'], rank is 8 and total rank is 6772"
167,G:HGNC:3655,G:HGNC:3955,"Meta path:['GPdPG'], rank is 6 and total rank is 43"
