"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"190","NM_001010870","NM_018010","HGNC:21339","HGNC:17367","0","0.213","0","0","0.11","0","0.127","0.323","0",0
"191","NM_001005567","NM_032805","HGNC:19599","HGNC:12997","0.216","0.083","0","0.111","0.012","0","0.157","0.237","0.143",0
"192","NM_052923","NM_015172","HGNC:13851","HGNC:24903","0","0","0","0","0","0","0","0","0",0
"193","NM_153833","NM_015080","HGNC:18463","HGNC:8009","0.18","0.118","0.066","0.104","0.016","0.03","0.187","0.305","0.296",0
"194","NM_017590","NM_139282","HGNC:30869","HGNC:29993","0.331","0","0.363","0.102","0","0.09","0.353","0","0.5",0
"195","NM_004887","NM_002964","HGNC:10640","HGNC:10498","0.365","0.478","1","0.137","0.16","0.067","0.289","0.704","1",0
"196","NM_016483","NM_003983","HGNC:18458","HGNC:11064","0","0.684","0","0","0.104","0","0","0.767","0.108",0
"197","NM_002171","NM_004904","HGNC:5418","HGNC:16844","0.153","0.847","0","0.058","0.201","0","0.06","0.296","0",0
"198","NM_133456","NM_173667","HGNC:24084","HGNC:26744","0","0","0","0","0","0","0","0","0",0
"199","NM_001009616","NR_027146","HGNC:33178","HGNC:26863","0","0","0","0","0","0","0","0","0",0
"200","NM_017775","NM_000393","HGNC:26006","HGNC:2210","0.17","0.136","0","0.105","0.05","0","0.21","0.348","0.214",0
"201","NM_000269","NM_002513","HGNC:7849","HGNC:7851","1","1","1","0.587","0.175","0.067","1","1","1",1
"202","NM_000122","NM_025049","HGNC:3435","HGNC:26220","0.386","0.514","0.472","0.188","0.164","0.241","0.348","0.676","0.453",1
"203","NM_018327","NM_004863","HGNC:16253","HGNC:11278","0.662","1","1","0.329","0.492","0.709","0.671","1","1",1
"204","NM_021074","NM_007103","HGNC:7717","HGNC:7716","0.71","0.918","0.911","0.386","0.344","0.328","0.73","0.944","0.868",1
"205","NM_006709","NM_024757","HGNC:14129","HGNC:24650","0.86","0.918","0.88","0.404","0.199","0.381","0.795","0.935","0.912",1
"206","NM_181690","NM_001042600","HGNC:393","HGNC:6863","0.556","0","0.951","0.214","0","0.24","0.41","0","0.969",1
"207","NM_000944","NM_030768","HGNC:9314","HGNC:15566","0","0.624","1","0","0.11","0.067","0","0.704","1",1
"208","NM_002633","NM_018290","HGNC:8905","HGNC:8906","0.93","0.844","0.729","0.533","0.253","0.281","0.832","0.901","0.763",1
"209","NM_000669","NM_000672","HGNC:251","HGNC:255","1","0.541","1","0.68","0.101","0.721","1","0.567","1",1
"210","NM_001320","NM_182948","HGNC:2460","HGNC:9381","0.489","0.643","0.434","0.198","0.167","0.092","0.49","0.707","0.665",1
"211","NM_001083","NM_006204","HGNC:8784","HGNC:8787","0","0","0","0","0","0","0","0","0",1
"212","NM_002578","NM_002739","HGNC:8592","HGNC:9402","0.272","0.738","0.74","0.139","0.128","0.322","0.2","0.854","0.729",1
"213","NM_002970","NM_133491","HGNC:10540","HGNC:23160","0.667","0","1","0.499","0","0.361","0.49","0.068","1",1
"214","NM_006259","NM_212535","HGNC:9416","HGNC:9395","0.442","1","0.296","0.122","0.175","0.123","0.472","1","0.385",1
"215","NM_006100","NM_005668","HGNC:18080","HGNC:10871","0.688","1","0.7","0.309","0.327","0.521","0.627","1","0.729",1
"216","NM_006204","NM_000922","HGNC:8787","HGNC:8779","0","0","0","0","0","0","0","0","0",1
"217","NM_022356","NM_018192","HGNC:19316","HGNC:19317","0.524","0.649","1","0.259","0.216","0.777","0.569","0.585","1",1
"218","NM_001042600","NM_003157","HGNC:6863","HGNC:11399","0.53","0","0.623","0.206","0","0.223","0.476","0.234","0.627",1
"219","NM_001122636","NM_001168368","HGNC:4131","HGNC:23233","0.803","0","1","0.463","0","0.6","0.897","0","1",1
"220","NM_005114","NM_006043","HGNC:5194","HGNC:5195","1","0.703","1","0.479","0.299","0.501","1","0.696","1",1
"221","NM_182948","NM_006255","HGNC:9381","HGNC:9403","0.586","0.545","0.534","0.233","0.13","0.09","0.553","0.643","0.594",1
"222","NM_020223","NM_006259","HGNC:22140","HGNC:9416","0.562","0.421","0.49","0.136","0.091","0.182","0.593","0.574","0.559",1
"223","NM_174953","NM_001001396","HGNC:813","HGNC:817","0.441","0.302","0","0.197","0.098","0","0.338","0.357","0",1
"224","NM_006259","NM_001081640","HGNC:9416","HGNC:9413","0.486","1","0.408","0.136","0.175","0.15","0.436","1","0.503",1
"225","NM_001439","NM_001440","HGNC:3516","HGNC:3518","0.685","0.926","0.648","0.386","0.254","0.355","0.526","0.974","0.592",1
"226","NM_001098521","NM_148897","HGNC:16637","HGNC:29958","0.295","0.6","0","0.087","0.122","0","0.13","0.692","0.158",1
"227","YP_003024033","NM_004550","HGNC:7458","HGNC:7708","0.829","0.795","0.834","0.45","0.348","0.329","0.838","0.73","0.805",1
"228","NM_014225","NM_001009552","HGNC:9302","HGNC:9300","0.32","0.498","0.391","0.146","0.176","0.048","0.303","0.6","0.628",1
"229","NM_004320","NM_001001486","HGNC:811","HGNC:13211","0.535","0.699","1","0.243","0.206","0.559","0.599","0.722","1",1
"230","NM_002576","NM_002730","HGNC:8590","HGNC:9380","0.546","0.578","0.711","0.249","0.152","0.205","0.446","0.593","0.821",1
"231","NM_006257","NM_016281","HGNC:9410","HGNC:18133","0.459","0","0.822","0.201","0","0.177","0.275","0","0.793",1
