gene1,gene2
HGNC:4422,HGNC:19139
HGNC:1461,HGNC:1476
HGNC:10537,HGNC:8925
HGNC:12015,HGNC:7716
HGNC:8806,HGNC:17759
HGNC:10545,HGNC:6840
HGNC:3647,HGNC:6172
HGNC:9282,HGNC:2689
HGNC:4816,HGNC:9325
HGNC:2859,HGNC:4057
HGNC:12440,HGNC:21474
HGNC:21474,HGNC:735
HGNC:2867,HGNC:15516
HGNC:18518,HGNC:16066
HGNC:4455,HGNC:16066
HGNC:4892,HGNC:9279
HGNC:451,HGNC:2719
HGNC:9314,HGNC:8927
HGNC:1492,HGNC:2719
HGNC:11842,HGNC:4706
HGNC:19237,HGNC:438
HGNC:9082,HGNC:12730
HGNC:10537,HGNC:3771
HGNC:17646,HGNC:6840
HGNC:12496,HGNC:11777
HGNC:9577,HGNC:12266
HGNC:4118,HGNC:7710
HGNC:7529,HGNC:7413
HGNC:9173,HGNC:930
HGNC:24861,HGNC:20233
HGNC:25695,HGNC:17759
HGNC:23159,HGNC:251
HGNC:17646,HGNC:5154
HGNC:12513,HGNC:1985
HGNC:2731,HGNC:15925
HGNC:23161,HGNC:9726
HGNC:3518,HGNC:12840
HGNC:6842,HGNC:4298
HGNC:20324,HGNC:8957
HGNC:12496,HGNC:6315
HGNC:5218,HGNC:854
HGNC:4806,HGNC:7631
HGNC:7193,HGNC:3518
HGNC:26444,HGNC:406
HGNC:7863,HGNC:2973
HGNC:7716,HGNC:3767
HGNC:24475,HGNC:6215
HGNC:4806,HGNC:10297
HGNC:7413,HGNC:4696
HGNC:14988,HGNC:794
HGNC:2501,HGNC:414
HGNC:4801,HGNC:1480
HGNC:438,HGNC:9350
HGNC:30262,HGNC:3688
HGNC:9060,HGNC:12496
HGNC:4696,HGNC:406
HGNC:7179,HGNC:17175
HGNC:4189,HGNC:6903
HGNC:8592,HGNC:930
HGNC:6664,HGNC:9726
HGNC:9279,HGNC:1246
HGNC:29932,HGNC:9052
HGNC:1550,HGNC:30262
HGNC:7436,HGNC:251
HGNC:6937,HGNC:2719
HGNC:1037,HGNC:735
HGNC:9414,HGNC:10297
HGNC:24475,HGNC:29958
HGNC:4118,HGNC:11120
HGNC:12651,HGNC:1460
HGNC:4189,HGNC:3700
HGNC:28358,HGNC:15672
HGNC:91,HGNC:1500
HGNC:2707,HGNC:3438
HGNC:3771,HGNC:1460
HGNC:7707,HGNC:26274
HGNC:10297,HGNC:251
HGNC:18062,HGNC:15919
HGNC:8646,HGNC:17035
HGNC:9040,HGNC:4138
HGNC:25538,HGNC:8975
HGNC:89,HGNC:6831
HGNC:8609,HGNC:2528
HGNC:25223,HGNC:11831
HGNC:7473,HGNC:8592
HGNC:11448,HGNC:15919
HGNC:19139,HGNC:3579
HGNC:6831,HGNC:9052
HGNC:9588,HGNC:6215
HGNC:225,HGNC:8646
HGNC:11831,HGNC:2858
HGNC:3438,HGNC:30740
HGNC:11834,HGNC:120
HGNC:25538,HGNC:4570
HGNC:6315,HGNC:9066
HGNC:9407,HGNC:800
HGNC:18062,HGNC:1247
HGNC:11425,HGNC:21406
HGNC:21144,HGNC:5212
HGNC:7710,HGNC:18324
