,gene1,gene2,ins,mPath,score
24,G:HGNC:6932,G:HGNC:4324,6,GTG,0.285714286
26,G:HGNC:6932,G:HGNC:4536,4,GTG,0.285714286
3,G:HGNC:6932,G:HGNC:19060,4,GTG,0.285714286
12,G:HGNC:6932,G:HGNC:24555,1,GMG,0.285714286
12,G:HGNC:6932,G:HGNC:10012,17,GDpDpDG,0.285714286
2,G:HGNC:6932,G:HGNC:24544,1,GMG,0.285714286
10,G:HGNC:6932,G:HGNC:914,2,GDpDpDG,0.013377926
15,G:HGNC:6932,G:HGNC:10705,1,GMG,0.285714286
21,G:HGNC:6932,G:HGNC:16507,1,GMG,0.285714286
13,G:HGNC:6932,G:HGNC:28596,3,GDpDpDG,0.004076087
21,G:HGNC:6932,G:HGNC:6741,119,GDpDpDG,0.28502994
24,G:HGNC:6932,G:HGNC:2358,5,GTG,0.277777778
31,G:HGNC:6932,G:HGNC:10608,5,GTG,0.277777778
12,G:HGNC:6932,G:HGNC:9910,45,GDpDpDG,0.276923077
5,G:HGNC:6932,G:HGNC:19991,4,GTG,0.275862069
19,G:HGNC:6932,G:HGNC:17978,43,GDpDpDG,0.008251775
14,G:HGNC:6932,G:HGNC:19578,4,GTG,0.275862069
7,G:HGNC:6932,G:HGNC:10288,17,GDpDpDG,0.26984127
18,G:HGNC:6932,G:HGNC:13302,4,GTG,0.266666667
23,G:HGNC:6932,G:HGNC:923,40,GDpDpDG,0.011326632
31,G:HGNC:6932,G:HGNC:9609,4,GTG,0.266666667
25,G:HGNC:6932,G:HGNC:20207,48,GDpDpDG,0.006776311
14,G:HGNC:6932,G:HGNC:4134,5,GTG,0.263157895
27,G:HGNC:6932,G:HGNC:15629,9,GDpDpDG,0.006097561
20,G:HGNC:6932,G:HGNC:9236,5,GDpDG,0.263157895
29,G:HGNC:6932,G:HGNC:9608,7,GTG,0.259259259
9,G:HGNC:6932,G:HGNC:24073,4,GTG,0.258064516
12,G:HGNC:6932,G:HGNC:20822,4,GTG,0.258064516
18,G:HGNC:6932,G:HGNC:4463,4,GTG,0.258064516
16,G:HGNC:6932,G:HGNC:13300,4,GTG,0.258064516
4,G:HGNC:6932,G:HGNC:7135,1,GMG,0.037037037
5,G:HGNC:6932,G:HGNC:3776,15,GDpDpDG,0.030927835
4,G:HGNC:6932,G:HGNC:52383,4,GTG,0.258064516
